fecha,mes,muestreador,toponimia,localidad,sitio,transecto,distancia_localidad_km,distance,day,num_mes,month,orientation,density,size,number
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,10,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,11,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,12,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,13,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,14,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,15,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,16,60
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,17,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,18,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,19,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,20,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,22,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,24,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,25,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,26,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,27,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,28,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,30,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,32,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,33,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,34,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,35,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,36,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,37,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,38,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,40,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,42,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,43,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,44,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,45,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,46,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,48,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,50,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,52,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,54,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,55,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,56,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,60,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,1,0.7,0.7,14,1,July,E,12,65,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,10,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,11,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,12,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,13,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,14,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,15,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,16,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,17,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,18,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,19,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,20,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,22,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,24,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,25,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,26,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,27,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,28,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,30,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,32,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,33,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,34,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,35,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,36,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,37,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,38,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,40,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,42,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,43,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,44,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,45,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,46,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,48,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,50,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,2,0.7,0.7,14,1,July,E,0,52,0
