localidad,toponimia,month,sitio,distance,transecto,size,loc_dist
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
Gorguel,Gorguel Norte,July,1,0.7,1,16,Gorguel (0.7 km)
